Recomendações aos municípios sobre o sítio eletrônico,,,
Assunto,Orientação,Referência,Cumprimento
Nome do link estático para acesso ao portal da transparência do município,Recomenda-se que o link siga o padrão “município.uf.gov.br/transparência”. Este link poderá redirecionar a um site externo ao site institucional da prefeitura,Recomendação em linha com Art. 8º caput da Lei nº 12.527/2011,Recomendável
Adesão ao Portal da Transparência do Governo Federal,Saiba mais em: http://ac.transparencia.gov.br/informacoes/orientacoes,Portal da Transparência do Governo Federal,Recomendável
Segue o padrão de dados abertos,Os arquivos devem ser publicados de forma que sua reutilização não seja limitada.,Lei de Acesso à informação 12.527/2011,Recomendável
"Fonte: CGU, 2013.",,,
,,,
Recomendações aos municípios sobre conteúdo que deve ser disponibilizado nos portais de transparência,,,
Detalhamento das Despesas,,,
Assunto,Orientação,Referência,Cumprimento
Data da despesa,A informação deve possibilitar o acompanhamento da publicação das despesas em tempo real.,Decreto nº 7.185/2010 (Art. 2º §2º Inc. II),Obrigatório
"Valor do empenho, liquidação e pagamento",,Decreto nº 7.185/2010 (Art. 7º Inc. I alínea a),Obrigatório
Número de processo da execução,"Quando houver a possibilidade, deve-se publicar essa informação.",Decreto nº 7.185/2010 (Art. 7º Inc. I alínea b),Obrigatório
Classificação orçamentária,"A classificação orçamentária deve especificar a unidade orçamentária, função, subfunção, natureza da despesa e a fonte dos recursos que financiaram o gasto",Decreto nº 7.185/2010 (Art. 7º Inc. I alínea c),Obrigatório
Identificação da pessoa física ou jurídica beneficiária do pagamento,"A identificação do beneficiário deve ocorrer inclusive nos desembolsos de operações, independentes da execução orçamentária. Recomenda-se, além do nome ou razão social, informar o CNPJ da pessoa jurídica integralmente e o CPF da pessoa física, ocultando os três primeiros dígitos e os dois últimos dígitos",Decreto nº 7.185/2010 (Art. 7º Inc. I alínea d),Obrigatório
Procedimento licitatório realizado,"Divulgação do procedimento licitatório, bem como, quando for o caso, a sua dispensa ou inexigibilidade com o número do correspondente processo.",Decreto nº 7.185/2010 (Art. 7º Inc. I alínea e),Obrigatório
Descrição do bem fornecido ou serviço prestado,Detalhamento do bem fornecido ou serviço prestado,Decreto nº 7.185/2010 (Art. 7º Inc. I alínea f,Obrigatório
Unidade gestora,,Decreto nº 7.185/2010 (Art. 2º §2º Inc. IV),Obrigatório
Detalhamento das Receitas,,,
Data da posição,Possibilita acompanhar a publicação das receitas em tempo real.,Decreto nº 7.185/2010 (Art. 2º §2º Inc. II),Obrigatório
Unidade Gestora,,Decreto nº 7.185/2010 (Art. 7º Inc. II caput),Obrigatório
Natureza da Receita,,Decreto nº 7.185/2010 (Art. 7º Inc. II caput),Obrigatório
Valor da previsão,,Decreto nº 7.185/2010 (Art. 7º Inc. II alínea a),Obrigatório
Valor do lançamento,"Quando houver a possibilidade, deve-se publicar essa informação.",Decreto nº 7.185/2010 (Art. 7º Inc. II alínea b),Obrigatório
Valor da arrecadação,"Indica o valor da arrecadação, inclusive referente a recursos extraordinários.",Decreto nº 7.185/2010 (Art. 7º Inc. II alínea c),Obrigatório
Informações Financeiras,,,
Plano Plurianual (PPA),Publicar versão simplificada.,Art. 48 LRF,Obrigatório
Lei de Diretrizes Orçamentárias (LDO),Publicar versão simplificada.,Art. 48 LRF,Obrigatório
Prestação de Contas,A prestação de contas deve ser acompanhada do parecer prévio do Tribunal de Contas e de versões simplificadas,Art. 48 LRF,Obrigatório
Relatório Resumido da Execução Orçamentária (RREO),Publicar versão simplificada.,Art. 48 LRF,Obrigatório
Relatório de Gestão Fiscal (RGF),Publicar versão simplificada.,Art. 48 LRF,Obrigatório
Balanço Anual do Exercício Anterior,,Lei 9.755/98 (Art. 1º Inciso IV),Obrigatório
"Fonte: CGU, 2013.",,,